search_term,Input
"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"""
"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"""
"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Opdivo""or""Nivolumab""or""nivolumab"""
"((""Xarelto""or""Rivaroxaban""or""rivaroxaban"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Xarelto""or""Rivaroxaban""or""rivaroxaban"""
"((""Kybella""or""Deoxycholic acid""or""deoxycholic acid"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kybella""or""Deoxycholic acid""or""deoxycholic acid"""
"((""Pradaxa""or""Dabigatran""or""dabigatran etexilate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Pradaxa""or""Dabigatran""or""dabigatran etexilate"""
"((""Keytruda""or""Pembrolizumab""or""pembrolizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Keytruda""or""Pembrolizumab""or""pembrolizumab"""
"((""Actemra""or""Tocilizumab""or""tocilizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Actemra""or""Tocilizumab""or""tocilizumab"""
"((""Eliquis""or""Apixaban""or""apixaban"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Eliquis""or""Apixaban""or""apixaban"""
"((""Cholbam""or""Cholic acid""or""cholic acid and  Asklepion"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Cholbam""or""Cholic acid""or""cholic acid and  Asklepion"""
"((""Yervoy""or""Ipilimumab""or""ipilimumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Yervoy""or""Ipilimumab""or""ipilimumab"""
"((""Epidiolex""or""cannabidiol""or""cannabidiol and  GW Pharmaceuticals"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Epidiolex""or""cannabidiol""or""cannabidiol and  GW Pharmaceuticals"""
"((""Prolia""or""Denosumab""or""denosumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Prolia""or""Denosumab""or""denosumab"""
"((""Kovaltry""or""Recombinant Antihemophilic Factor VIII ""Human""""or""Factor VIII ""recombinant"" and  Bayer-2"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kovaltry""or""Recombinant Antihemophilic Factor VIII ""Human""""or""Factor VIII ""recombinant"" and  Bayer-2"""
"((""Victoza""or""Liraglutide""or""liraglutide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Victoza""or""Liraglutide""or""liraglutide"""
"((""Brilinta""or""Ticagrelor""or""ticagrelor"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Brilinta""or""Ticagrelor""or""ticagrelor"""
"((""Gilenya""or""Fingolimod""or""fingolimod hydrochloride"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Gilenya""or""Fingolimod""or""fingolimod hydrochloride"""
"((""Sovaldi""or""Sofosbuvir""or""sofosbuvir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Sovaldi""or""Sofosbuvir""or""sofosbuvir"""
"((""Xalkori""or""Crizotinib""or""crizotinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Xalkori""or""Crizotinib""or""crizotinib"""
"((""Imbruvica""or""Ibrutinib""or""ibrutinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Imbruvica""or""Ibrutinib""or""ibrutinib"""
"((""Eylea""or""Aflibercept""or""aflibercept ophthalmic solution"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Eylea""or""Aflibercept""or""aflibercept ophthalmic solution"""
"((""Zaltrap""or""Ziv-aflibercept""or""aflibercept"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zaltrap""or""Ziv-aflibercept""or""aflibercept"""
"((""Zytiga""or""Abiraterone""or""abiraterone acetate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zytiga""or""Abiraterone""or""abiraterone acetate"""
"((""Zelboraf""or""Vemurafenib""or""vemurafenib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zelboraf""or""Vemurafenib""or""vemurafenib"""
"((""Xtandi""or""Enzalutamide""or""enzalutamide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Xtandi""or""Enzalutamide""or""enzalutamide"""
"((""Ella""or""Ulipristal""or""ulipristal acetate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Ella""or""Ulipristal""or""ulipristal acetate"""
"((""Xeljanz""or""Tofacitinib""or""tofacitinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Xeljanz""or""Tofacitinib""or""tofacitinib"""
"((""Lynparza""or""Olaparib""or""olaparib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Lynparza""or""Olaparib""or""olaparib"""
"((""Savaysa""or""Edoxaban""or""edoxaban"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Savaysa""or""Edoxaban""or""edoxaban"""
