search_term,Input
"(""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (1980:2020 [pdat])","""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"""
"(""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (1980:2020 [pdat])","""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"""
"(""Opdivo""or""Nivolumab""or""nivolumab"") AND (1980:2020 [pdat])","""Opdivo""or""Nivolumab""or""nivolumab"""
"(""Xarelto""or""Rivaroxaban""or""rivaroxaban"") AND (1980:2020 [pdat])","""Xarelto""or""Rivaroxaban""or""rivaroxaban"""
"(""Kybella""or""Deoxycholic acid""or""deoxycholic acid"") AND (1980:2020 [pdat])","""Kybella""or""Deoxycholic acid""or""deoxycholic acid"""
"(""Pradaxa""or""Dabigatran""or""dabigatran etexilate"") AND (1980:2020 [pdat])","""Pradaxa""or""Dabigatran""or""dabigatran etexilate"""
"(""Keytruda""or""Pembrolizumab""or""pembrolizumab"") AND (1980:2020 [pdat])","""Keytruda""or""Pembrolizumab""or""pembrolizumab"""
"(""Actemra""or""Tocilizumab""or""tocilizumab"") AND (1980:2020 [pdat])","""Actemra""or""Tocilizumab""or""tocilizumab"""
"(""Eliquis""or""Apixaban""or""apixaban"") AND (1980:2020 [pdat])","""Eliquis""or""Apixaban""or""apixaban"""
"(""Cholbam""or""Cholic acid""or""cholic acid and  Asklepion"") AND (1980:2020 [pdat])","""Cholbam""or""Cholic acid""or""cholic acid and  Asklepion"""
"(""Yervoy""or""Ipilimumab""or""ipilimumab"") AND (1980:2020 [pdat])","""Yervoy""or""Ipilimumab""or""ipilimumab"""
"(""Epidiolex""or""cannabidiol""or""cannabidiol and  GW Pharmaceuticals"") AND (1980:2020 [pdat])","""Epidiolex""or""cannabidiol""or""cannabidiol and  GW Pharmaceuticals"""
"(""Prolia""or""Denosumab""or""denosumab"") AND (1980:2020 [pdat])","""Prolia""or""Denosumab""or""denosumab"""
