NCT Number,Phases_NCT,PMID
NCT03898180,Phase 3,33300372
NCT04246177,Phase 3,33300372
NCT02501096,Phase 1|Phase 2,30922731
NCT02501096,Phase 1|Phase 2,32167863
NCT02501096,Phase 1|Phase 2,31961766
NCT03884101,Phase 3,33300372
NCT02811861,Phase 3,33058158
NCT03609359,Phase 2,32589866
NCT04428151,Phase 2,33300372
NCT03829332,Phase 3,33300372
NCT03976375,Phase 3,33300372
NCT03006926,Phase 1,32716739
NCT04199104,Phase 3,33300372
NCT03250052,Phase 1,32546973
NCT01744236,Phase 4,27451030
NCT02545738,Phase 4,27753201
NCT00130117,Phase 2,25148234
NCT00457002,Phase 3,28762617
NCT02657512,Phase 1,27910037
NCT03045406,Phase 3,32223112
NCT02048865,Phase 2,33337539
NCT00412984,Phase 3,29069359
NCT00412984,Phase 3,27056738
NCT00412984,Phase 3,24211508
NCT00412984,Phase 3,32984892
NCT02207725,Phase 3,26559317
NCT00320255,Phase 2,33337539
NCT02919683,Phase 2,32852531
NCT03238365,Early Phase 1,33344227
NCT03277924,Phase 1|Phase 2,33203665
NCT02105636,Phase 3,32583557
NCT02105636,Phase 3,31422216
NCT02105636,Phase 3,31246283
NCT02105636,Phase 3,30972702
NCT02105636,Phase 3,29884413
NCT02105636,Phase 3,28939066
NCT02105636,Phase 3,28651929
NCT02105636,Phase 3,27718784
NCT02105636,Phase 3,30944020
NCT03343665,Phase 1|Phase 2,33062947
NCT03293784,Phase 1,33272982
NCT04017897,Phase 2,31552171
NCT02465060,Phase 2,29366510
NCT03816332,Phase 1,32503950
NCT02437279,Phase 1,30713806
NCT02393625,Phase 1,29518553
NCT03382912,Phase 2,32808556
NCT03382912,Phase 2,33166722
NCT03311789,Phase 1|Phase 2,32487569
NCT03203473,Phase 2,33108238
NCT02267343,Phase 3,28993052
NCT02746796,Phase 2|Phase 3,30566590
NCT02985957,Phase 2,32916128
NCT02569242,Phase 3,31582355
NCT02038933,Phase 2,30620669
NCT02181738,Phase 2,32778827
NCT02181738,Phase 2,27451390
NCT02181738,Phase 2,31112476
NCT02181738,Phase 2,29584546
NCT02181738,Phase 2,29394125
NCT02181738,Phase 2,28439879
NCT02829918,Phase 2,32352498
NCT01783938,Phase 2,32303612
NCT01783938,Phase 2,27269740
NCT02899299,Phase 3,33206991
NCT03700905,Phase 3,32902312
NCT01668784,Phase 3,32673417
NCT01668784,Phase 3,31272883
NCT01668784,Phase 3,28410865
NCT01668784,Phase 3,28262413
NCT01668784,Phase 3,27283863
NCT01668784,Phase 3,26406148
NCT01668784,Phase 3,31992108
NCT01668784,Phase 3,30215677
NCT01927419,Phase 2,27622997
NCT01927419,Phase 2,25891304
NCT01721759,Phase 2,25704439
NCT01721759,Phase 2,32198149
NCT01454102,Phase 1,27932067
NCT01454102,Phase 1,27354485
NCT01454102,Phase 1,27354481
NCT01721772,Phase 3,30422243
NCT01721772,Phase 3,30215677
NCT01721772,Phase 3,28662232
NCT01721772,Phase 3,25399552
NCT01721772,Phase 3,32997575
NCT02464657,Phase 1|Phase 2,31400961
NCT02983006,Phase 1,32303612
NCT02476123,Phase 1,31455681
NCT03937219,Phase 3,33058158
NCT01673867,Phase 3,30103096
NCT01673867,Phase 3,26412456
NCT01673867,Phase 3,30215677
NCT01673867,Phase 3,29408986
NCT01673867,Phase 3,29023213
NCT01642004,Phase 3,32198149
NCT01642004,Phase 3,29408986
NCT01642004,Phase 3,29023213
NCT01642004,Phase 3,26028407
NCT01642004,Phase 3,30215677
NCT02959554,Phase 2,33058158
NCT02684253,Phase 2,32822275
NCT02309177,Phase 1,31850192
NCT02553642,Phase 2,29489427
NCT03406871,Phase 1|Phase 2,32343640
NCT03388632,Phase 1,32508818
NCT03529890,Phase 2,31900121
NCT03443856,Phase 2,32083013
NCT03409198,Phase 2,32620163
NCT01358721,Phase 1,31829287
NCT01844505,Phase 3,31562797
NCT01844505,Phase 3,31312536
NCT01844505,Phase 3,30361170
NCT01844505,Phase 3,28889792
NCT01844505,Phase 3,28651159
NCT01844505,Phase 3,26027431
NCT01844505,Phase 3,28662232
NCT03136627,Phase 1|Phase 2,33010459
NCT01621490,Phase 1,30689736
NCT04006262,Phase 2,32057467
NCT02977052,Phase 2,31160251
