NCT Number,Phases_NCT,PMID
NCT03898180,3_0,33300372
NCT04246177,3_0,33300372
NCT02501096,2_0,30922731
NCT02501096,2_0,32167863
NCT02501096,2_0,31961766
NCT03884101,3_0,33300372
NCT02811861,3_0,33058158
NCT03609359,2_0,32589866
NCT04428151,2_0,33300372
NCT03829332,3_0,33300372
NCT03976375,3_0,33300372
NCT03006926,1_0,32716739
NCT04199104,3_0,33300372
NCT03250052,1_0,32546973
NCT01744236,4_0,27451030
NCT02545738,4_0,27753201
NCT00130117,2_0,25148234
NCT00457002,3_0,28762617
NCT02657512,1_0,27910037
NCT03045406,3_0,32223112
NCT02048865,2_0,33337539
NCT00412984,3_0,29069359
NCT00412984,3_0,27056738
NCT00412984,3_0,24211508
NCT00412984,3_0,32984892
NCT02207725,3_0,26559317
NCT00320255,2_0,33337539
NCT02919683,2_0,32852531
NCT03238365,1_0,33344227
NCT03277924,2_0,33203665
NCT02105636,3_0,32583557
NCT02105636,3_0,31422216
NCT02105636,3_0,31246283
NCT02105636,3_0,30972702
NCT02105636,3_0,29884413
NCT02105636,3_0,28939066
NCT02105636,3_0,28651929
NCT02105636,3_0,27718784
NCT02105636,3_0,30944020
NCT03343665,2_0,33062947
NCT03293784,1_0,33272982
NCT04017897,2_0,31552171
NCT02465060,2_0,29366510
NCT03816332,1_0,32503950
NCT02437279,1_0,30713806
NCT02393625,1_0,29518553
NCT03382912,2_0,32808556
NCT03382912,2_0,33166722
NCT03311789,2_0,32487569
NCT03203473,2_0,33108238
NCT02267343,3_0,28993052
NCT02746796,3_0,30566590
NCT02985957,2_0,32916128
NCT02569242,3_0,31582355
NCT02038933,2_0,30620669
NCT02181738,2_0,32778827
NCT02181738,2_0,27451390
NCT02181738,2_0,31112476
NCT02181738,2_0,29584546
NCT02181738,2_0,29394125
NCT02181738,2_0,28439879
NCT02829918,2_0,32352498
NCT01783938,2_0,32303612
NCT01783938,2_0,27269740
NCT02899299,3_0,33206991
NCT03700905,3_0,32902312
NCT01668784,3_0,32673417
NCT01668784,3_0,31272883
NCT01668784,3_0,28410865
NCT01668784,3_0,28262413
NCT01668784,3_0,27283863
NCT01668784,3_0,26406148
NCT01668784,3_0,31992108
NCT01668784,3_0,30215677
NCT01927419,2_0,27622997
NCT01927419,2_0,25891304
NCT01721759,2_0,25704439
NCT01721759,2_0,32198149
NCT01454102,1_0,27932067
NCT01454102,1_0,27354485
NCT01454102,1_0,27354481
NCT01721772,3_0,30422243
NCT01721772,3_0,30215677
NCT01721772,3_0,28662232
NCT01721772,3_0,25399552
NCT01721772,3_0,32997575
NCT02464657,2_0,31400961
