PMID,search_term,search_type
33251670,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32769878,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32299679,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32279529,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31554937,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30793466,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30716716,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30397789,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30261963,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30217371,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30027478,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
29603851,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
29423540,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
29235365,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28681550,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28215131,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28202884,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28075064,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28057081,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28024961,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27920497,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27502326,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27496229,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27350174,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
26632101,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
26518245,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
26481083,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
